Código	Descrição	Situação	Situação Conferência	Situação Sorter	Cod. SKU	Num. Picking	Num. Pedido	Num. Caixa Plástica	Num. Endereço	Num. Posto	Num. Conferencia	Num. Controle	Cor LED	Data Início	Data Finalização	Data Conferência	Quantidade	Quantidade Separada	Quantidade Conferida	Usuário Operador	Usuário Conferência	Livre 1	Livre 2	Livre 3	Livre 4	Livre 5	Livre 6	Livre 6	Livre 6	Livre 6	Livre 10
401326	PLACA CONDULETE 3 MOD.CZ.             6776-ANDALUZ	F	F		21987	285779	3590766	285779	158648	14	1			02/09/2025 13:48	02/09/2025 14:01	02/09/2025 14:03	2	2	2	YURI.SEBASTIAO	CHECK_WEIGHT	1	373193	PAPELAO	109373	34	PAPELAO	31616	1,78989E+13	PESADO	SACO
401373	RED.EXCENTRICA ESGOTO 100X75MM        11783-AMANCO	F	F		116	285787	3590763	285787	153946	1	1			02/09/2025 13:48	02/09/2025 14:55	02/09/2025 16:29	1	0	0	WILTON.SANTOS	BRUNO.KREMER	1	373245	PAPELAO	109373	46	PAPELAO	31621	7,89196E+12	PESADO	CAIXA
401372	CURVA 90º SOLDAVEL 60MM               11613-AMANCO	F	F		7043	285787	3590763	285787	153958	1	1			02/09/2025 13:48	02/09/2025 14:11	02/09/2025 16:29	1	1	1	ELIEZER.FERREIRA	BRUNO.KREMER	1	373243	PAPELAO	109373	46	PAPELAO	31621	7,89196E+12	PESADO	CAIXA
401371	JOELHO 45º SOLDAVEL  60MM             11646-AMANCO	F	F		7049	285787	3590763	285787	162281	1	1			02/09/2025 13:48	02/09/2025 14:10	02/09/2025 16:29	1	1	1	ELIEZER.FERREIRA	BRUNO.KREMER	1	373241	PAPELAO	109373	46	PAPELAO	31621	7,89196E+12	PESADO	CAIXA
401374	TE SOLDAVEL 50MM                      11838-AMANCO	F	F		7079	285787	3590763	285787	153986	2	1			02/09/2025 13:48	02/09/2025 15:08	02/09/2025 16:29	1	1	1	ELIEZER.FERREIRA	BRUNO.KREMER	1	373244	PAPELAO	109373	46	PAPELAO	31621	7,89196E+12	PESADO	CAIXA
401375	BUCHA 08                            C/1000-TRIFIXI	F	F		85109	285787	3590763	285787	163275	101	1			02/09/2025 13:48	02/09/2025 14:07	02/09/2025 16:29	1	1	1	JOAO.SOUSA	BRUNO.KREMER	1	373242	PAPELAO	109373	46	PAPELAO	31621	7,89744E+12	PESADO	SACO
401453	TORN.PAREDE FILTRO MOVEL PLUS BR.        2880-HERC	F	F		12574	285802	3590811	562	163446	101	1			02/09/2025 13:53	02/09/2025 14:08	02/09/2025 14:14	2	2	2	JOAO.SOUSA	CHECK_WEIGHT	3	373318	AGRO	109373	28	AGRO	31630	7,89806E+12	PESADO	PEÇA
401196	"LUVA SOLD/ROSCA(LR)25x3/4""               488-KRONA"	F	F		10390	285750	3590720	285750	161964	1	1			02/09/2025 13:53	02/09/2025 14:00	02/09/2025 14:30	2	2	2	BRUNO.REIS	MAGNO.FERREIRA	1	373085	PAPELAO	109373	32	PAPELAO	31600	1,78978E+13	PESADO	CAIXA TEMP 3
401197	LUVA ESGOTO 40mm                         644-KRONA	F	F		10370	285750	3590720	285750	154146	3	1			02/09/2025 13:53	02/09/2025 14:01	02/09/2025 14:30	3	3	3	BRUNO.REIS	MAGNO.FERREIRA	1	373082	PAPELAO	109373	32	PAPELAO	31600	1,78978E+13	PESADO	CAIXA TEMP 2
401198	"TE SOLD/ROSCA(LR)25x1/2""                 495-KRONA"	F	F		10427	285750	3590720	285750	149818	4	1			02/09/2025 13:53	02/09/2025 14:02	02/09/2025 14:30	2	2	2	BRUNO.REIS	MAGNO.FERREIRA	1	373083	PAPELAO	109373	32	PAPELAO	31600	1,78978E+13	PESADO	CAIXA TEMP 2
401199	"PARAF.P/VASO B10"" CR.75mm C/2            934910-HF"	F	F		86758	285750	3590720	285750	151073	8	1			02/09/2025 13:53	02/09/2025 14:13	02/09/2025 14:30	20	20	20	MARCOS.MOTA	MAGNO.FERREIRA	1	373078	PAPELAO	109373	32	PAPELAO	31600	7,89359E+12	PESADO	UNIDADE
401200	JOELHO 90º SOLDAVEL 20mm                 424-KRONA	F	F		10345	285750	3590720	285750	151701	11	1			02/09/2025 13:53	02/09/2025 14:14	02/09/2025 14:30	2	2	2	YURI.SEBASTIAO	MAGNO.FERREIRA	1	373076	PAPELAO	109373	32	PAPELAO	31600	1,78978E+13	PESADO	CAIXA TEMP 2
401201	LIXA MADEIRA 220 C/50pcs              -CARBORUNDUM	F	F		5280	285750	3590720	285750	151490	12	1			02/09/2025 13:53	02/09/2025 14:20	02/09/2025 14:30	1	1	1	YURI.SEBASTIAO	MAGNO.FERREIRA	1	373087	PAPELAO	109373	32	PAPELAO	31600	7,89477E+12	PESADO	PACOTE
401202	DISJ.CURVA C DIN 1X20A                  TRAMONTINA	F	F		23091	285750	3590720	285750	151331	13	1			02/09/2025 13:53	02/09/2025 14:25	02/09/2025 14:30	2	2	2	ARTHUR.SANTANA	MAGNO.FERREIRA	1	373075	PAPELAO	109373	32	PAPELAO	31600	2,78914E+13	PESADO	CAIXA
401203	"PLUG ROSCAVEL 1/2""                       293-KRONA"	F	F		10394	285750	3590720	285750	163100	13	1			02/09/2025 13:53	02/09/2025 14:25	02/09/2025 14:30	4	4	4	ARTHUR.SANTANA	MAGNO.FERREIRA	1	373077	PAPELAO	109373	32	PAPELAO	31600	1,78978E+13	PESADO	CAIXA TEMP 2
401204	JOELHO 90º SOLDAVEL 25mm                 425-KRONA	F	F		10346	285750	3590720	285750	150941	13	1			02/09/2025 13:53	02/09/2025 14:24	02/09/2025 14:30	2	2	2	ARTHUR.SANTANA	MAGNO.FERREIRA	1	373089	PAPELAO	109373	32	PAPELAO	31600	1,78978E+13	PESADO	CAIXA TEMP 4
401205	JOELHO 90º SOLDAVEL 25mm                 425-KRONA	F	F		10346	285751	3590720	285751	150941	13	1			02/09/2025 13:53	02/09/2025 14:00	02/09/2025 15:32	3	3	3	YURI.SEBASTIAO	BRUNO.KREMER	1	373089	PAPELAO	109373	32	PAPELAO	31600	1,78978E+13	PESADO	CAIXA TEMP 4
401206	JOELHO 90º ESGOTO 50mm                   617-KRONA	F	F		10336	285751	3590720	285751	151019	15	1			02/09/2025 13:53	02/09/2025 14:57	02/09/2025 15:32	1	0	0	JOAO.MARCELO	BRUNO.KREMER	1	373084	PAPELAO	109373	32	PAPELAO	31600	1,78978E+13	PESADO	CAIXA TEMP 2
401207	JOELHO 90º ESGOTO 50mm                   617-KRONA	F	F		10336	285752	3590720	285752	151019	15	1			02/09/2025 13:53	02/09/2025 14:57	02/09/2025 15:24	2	0	0	JOAO.MARCELO	BRUNO.KREMER	1	373084	PAPELAO	109373	32	PAPELAO	31600	1,78978E+13	PESADO	CAIXA TEMP 2
401208	LINHA PEDREIRO LISA 100M PREMIUM           B.CORTE	F	F		27482	285752	3590720	285752	151028	15	1			02/09/2025 13:53	02/09/2025 14:17	02/09/2025 15:24	1	1	1	JOAO.MARCELO	BRUNO.KREMER	1	373086	PAPELAO	109373	32	PAPELAO	31600	7,89818E+12	PESADO	PACOTE
401209	LINHA PEDREIRO LISA 100M PREMIUM           B.CORTE	F	F		27482	285753	3590720	285753	151028	15	1			02/09/2025 13:53	02/09/2025 14:18	02/09/2025 15:22	1	1	1	JOAO.MARCELO	BRUNO.KREMER	1	373086	PAPELAO	109373	32	PAPELAO	31600	7,89818E+12	PESADO	PACOTE
401210	DISCO WIDIA 4.1/2x20mm(24 DENTES)        370224-HF	F	F		618	285753	3590720	285753	150317	17	1			02/09/2025 13:53	02/09/2025 14:27	02/09/2025 15:22	30	30	30	KELVE.SILVA	BRUNO.KREMER	1	373088	PAPELAO	109373	32	PAPELAO	31600	7,89359E+12	PESADO	PEÇA
401212	DISJ.CURVA C DIN 2X10A                  TRAMONTINA	F	F		23095	285753	3590720	285753	156058	18	1			02/09/2025 13:53	02/09/2025 14:32	02/09/2025 15:22	24	24	24	MAXWEL.SANTANA	BRUNO.KREMER	1	373079	PAPELAO	109373	32	PAPELAO	31600	7,89144E+12	PESADO	PEÇA
401211	PINO FEMEA 3P.10A BR.                1433PCT-ILUMI	F	F		17826	285753	3590720	285753	150289	17	1			02/09/2025 13:53	02/09/2025 14:27	02/09/2025 15:22	2	2	2	KELVE.SILVA	BRUNO.KREMER	1	373090	PAPELAO	109373	32	PAPELAO	31600	7,89832E+12	PESADO	CAIXA
401214	TE SOLDAVEL 25mm                         455-KRONA	F	F		10416	285753	3590720	285753	163029	19	1			02/09/2025 13:53	02/09/2025 14:38	02/09/2025 15:22	2	2	2	MAXWEL.SANTANA	BRUNO.KREMER	1	373080	PAPELAO	109373	32	PAPELAO	31600	1,78978E+13	PESADO	CAIXA TEMP 2
401213	LAPIS CARPINTEIRO                         93012-HF	F	F		3729	285753	3590720	285753	150212	18	1			02/09/2025 13:53	02/09/2025 14:30	02/09/2025 15:22	2	2	2	MAXWEL.SANTANA	BRUNO.KREMER	1	373091	PAPELAO	109373	32	PAPELAO	31600	2,69227E+13	PESADO	CAIXA
401215	LIXA MADEIRA 120 C/50pcs              -CARBORUNDUM	F	F		5277	285753	3590720	285753	163434	101	1			02/09/2025 13:53	02/09/2025 14:08	02/09/2025 15:22	1	1	1	JOAO.SOUSA	BRUNO.KREMER	1	373081	PAPELAO	109373	32	PAPELAO	31600	7,89477E+12	PESADO	PACOTE
401216	SERRA MANUAL BIM.UNIQUE 18D    KBS1218-10-STARRETT	F	F		15001	285753	3590720	285753	163424	101	1			02/09/2025 13:53	02/09/2025 14:08	02/09/2025 15:22	5	5	5	JOAO.SOUSA	BRUNO.KREMER	1	373092	PAPELAO	109373	32	PAPELAO	31600	7,89127E+12	PESADO	CAIXA
401163	BOTINA Nº43 ELASTICO MONO BICO PVC          CARTOM	F	F		28896	285739	3590904	285739	150031	4	1			02/09/2025 13:53	02/09/2025 14:54	02/09/2025 16:05	3	0	0	BRUNO.REIS	BRUNO.KREMER	1	373054	PAPELAO	109373	19	PAPELAO	31598	7,89861E+12	PESADO	PAR
401164	BOTINA Nº43 ELASTICO MONO S/BICO            CARTOM	F	F		28888	285739	3590904	285739	150272	5	1			02/09/2025 13:53	02/09/2025 14:56	02/09/2025 16:05	2	2	2	BRUNO.REIS	BRUNO.KREMER	1	373057	PAPELAO	109373	19	PAPELAO	31598	7,89893E+12	PESADO	PAR
401165	BOTINA Nº43 ELASTICO MONO S/BICO            CARTOM	F	F		28888	285740	3590904	285740	150272	5	1			02/09/2025 13:53	02/09/2025 14:04	02/09/2025 14:08	1	1	1	BRUNO.REIS	CHECK_WEIGHT	1	373057	PAPELAO	109373	19	PAPELAO	31598	7,89893E+12	PESADO	PAR
401166	LUM.TARTARUGA PVC E27/100W PR.            3292-OPL	F	F		29213	285740	3590904	285740	150338	5	1			02/09/2025 13:53	02/09/2025 14:04	02/09/2025 14:08	12	12	12	BRUNO.REIS	CHECK_WEIGHT	1	373072	PAPELAO	109373	19	PAPELAO	31598	7,89859E+12	PESADO	PEÇA
401167	BOTINA Nº40 ELASTICO MONO S/BICO            CARTOM	F	F		28885	285741	3590904	285741	150435	6	1			02/09/2025 13:53	02/09/2025 14:06	02/09/2025 15:44	3	3	3	BRUNO.REIS	WILTON.SANTOS	1	373049	PAPELAO	109373	19	PAPELAO	31598	7,89893E+12	PESADO	PAR
401169	COLA CONTATO  400gr                       -TEKBOND	F	F		25915	285741	3590904	285741	157321	6	1			02/09/2025 13:53	02/09/2025 14:08	02/09/2025 15:44	3	3	3	BRUNO.REIS	WILTON.SANTOS	1	373065	PAPELAO	109373	19	PAPELAO	31598	7,89854E+12	PESADO	PEÇA
401168	"BASE REG.PRESSAO 3/4""                        DOCOL"	F	F		19445	285741	3590904	285741	150628	6	1			02/09/2025 13:53	02/09/2025 14:07	02/09/2025 15:44	20	20	20	BRUNO.REIS	WILTON.SANTOS	1	373059	PAPELAO	109373	19	PAPELAO	31598	7,89146E+12	PESADO	PEÇA
401170	PASSA FIO C/CB.ACO 20m VD.ENCARTELADO     -PROAQUA	F	F		5770	285741	3590904	285741	154665	8	1			02/09/2025 13:53	02/09/2025 14:59	02/09/2025 15:44	5	0	0	WILTON.SANTOS	WILTON.SANTOS	1	373055	PAPELAO	109373	19	PAPELAO	31598	7,89757E+12	PESADO	PEÇA
401171	FITA ISOLANTE 05m(19x5m)                  ADELBRAS	F	F		32245	285741	3590904	285741	150775	9	1			02/09/2025 13:53	02/09/2025 15:05	02/09/2025 15:44	8	8	8	MATHEUS.FERREIRA	WILTON.SANTOS	1	373067	PAPELAO	109373	19	PAPELAO	31598	7,8966E+12	PESADO	AMARRADO
401172	FITA ISOLANTE 05m(19x5m)                  ADELBRAS	F	F		32245	285742	3590904	285742	150775	9	1			02/09/2025 13:53	02/09/2025 14:07	02/09/2025 14:16	2	2	2	MARCOS.MOTA	CHECK_WEIGHT	1	373067	PAPELAO	109373	19	PAPELAO	31598	7,8966E+12	PESADO	AMARRADO
401175	LAMP.LED 09W/3000K                            KIAN	F	F		19530	285742	3590904	285742	150950	13	1			02/09/2025 13:53	02/09/2025 14:09	02/09/2025 14:16	1	1	1	WILLIAN.ARAUJO	CHECK_WEIGHT	1	373061	PAPELAO	109373	19	PAPELAO	31598	1,78997E+13	PESADO	CAIXA
401174	LAMP.LED 12W/6500K                            KIAN	F	F		18865	285742	3590904	285742	151390	13	1			02/09/2025 13:53	02/09/2025 14:11	02/09/2025 14:16	5	5	5	WILLIAN.ARAUJO	CHECK_WEIGHT	1	373050	PAPELAO	109373	19	PAPELAO	31598	1,78997E+13	PESADO	CAIXA
401173	COLA CONTATO  200gr                       -TEKBOND	F	F		25913	285742	3590904	285742	151548	10	1			02/09/2025 13:53	02/09/2025 14:07	02/09/2025 14:16	3	3	3	MARCOS.MOTA	CHECK_WEIGHT	1	373066	PAPELAO	109373	19	PAPELAO	31598	7,89854E+12	PESADO	PEÇA
401176	PASSA FIO C/CB.ACO 15m VD.ENCARTELADO     -PROAQUA	F	F		5769	285742	3590904	285742	151303	13	1			02/09/2025 13:53	02/09/2025 14:10	02/09/2025 14:16	5	5	5	WILLIAN.ARAUJO	CHECK_WEIGHT	1	373071	PAPELAO	109373	19	PAPELAO	31598	7,89757E+12	PESADO	PEÇA
401177	"BASE REG.PRESSAO 1/2""                        DOCOL"	F	F		19444	285742	3590904	285742	155459	14	1			02/09/2025 13:53	02/09/2025 14:13	02/09/2025 14:16	5	5	5	WILLIAN.ARAUJO	CHECK_WEIGHT	1	373052	PAPELAO	109373	19	PAPELAO	31598	7,89146E+12	PESADO	PEÇA
401178	"BASE REG.GAVETA 3/4"" B-1509      (70)0048-FABRIMAR"	F	F		9018	285742	3590904	285742	158555	14	1			02/09/2025 13:53	02/09/2025 14:14	02/09/2025 14:16	6	6	6	WILLIAN.ARAUJO	CHECK_WEIGHT	1	373060	PAPELAO	109373	19	PAPELAO	31598	9019	PESADO	PEÇA
401180	"BASE REG.PRESSAO 3/4"" B-1416         0024-FABRIMAR"	F	F		9029	285743	3590904	285743	150290	17	1			02/09/2025 13:53	02/09/2025 14:31	02/09/2025 14:45	6	6	6	KELVE.SILVA	ALISON.TEIXEIRA	1	373068	PAPELAO	109373	19	PAPELAO	31598	7,89151E+12	PESADO	PEÇA
401179	LAMP.LED 15W/6500K                            KIAN	F	F		18866	285743	3590904	285743	150244	17	1			02/09/2025 13:53	02/09/2025 14:30	02/09/2025 14:45	1	1	1	KELVE.SILVA	ALISON.TEIXEIRA	1	373058	PAPELAO	109373	19	PAPELAO	31598	1,78997E+13	PESADO	CAIXA
401181	"BASE REG.GAVETA 1/2""                         DOCOL"	F	F		19442	285743	3590904	285743	156123	18	1			02/09/2025 13:53	02/09/2025 14:36	02/09/2025 14:45	5	5	5	MAXWEL.SANTANA	ALISON.TEIXEIRA	1	373056	PAPELAO	109373	19	PAPELAO	31598	7,89146E+12	PESADO	PEÇA
401184	"BASE REG.GAVETA 3/4""                         DOCOL"	F	F		19443	285743	3590904	285743	163207	101	1			02/09/2025 13:53	02/09/2025 14:09	02/09/2025 14:45	10	10	10	YURI.VITORIO	ALISON.TEIXEIRA	1	373053	PAPELAO	109373	19	PAPELAO	31598	7,89146E+12	PESADO	PEÇA
401183	LAMP.LED 15W/3000K                            KIAN	F	F		25883	285743	3590904	285743	163526	101	1			02/09/2025 13:53	02/09/2025 14:13	02/09/2025 14:45	10	10	10	YURI.VITORIO	ALISON.TEIXEIRA	1	373051	PAPELAO	109373	19	PAPELAO	31598	7,89971E+12	PESADO	UNIDADE
401182	DISCO CORTE INOX/FERRO 115x1.0x22mm        STANLEY	F	F		20407	285743	3590904	285743	156033	18	1			02/09/2025 13:53	02/09/2025 14:36	02/09/2025 14:45	4	4	4	MAXWEL.SANTANA	ALISON.TEIXEIRA	1	373064	PAPELAO	109373	19	PAPELAO	31598	2,78965E+13	PESADO	CAIXA
401185	ADESIVO PU40 BR.387gr FIX                 -TEKBOND	F	F		25911	285743	3590904	285743	163405	101	1			02/09/2025 13:53	02/09/2025 14:14	02/09/2025 14:45	12	12	12	YURI.VITORIO	ALISON.TEIXEIRA	1	373062	PAPELAO	109373	19	PAPELAO	31598	7,89847E+12	PESADO	PEÇA
401217	"TORN.JD.1/2""x3/4""                        1128-HERC"	F	F		3065	285754	3590783	285754	163472	101	1			02/09/2025 13:53	02/09/2025 14:12	02/09/2025 14:21	8	8	8	YURI.VITORIO	CHECK_WEIGHT	1	373093	PAPELAO	109373	14	PAPELAO	31601	7,89806E+12	PESADO	CAIXA
401195	COLA INST.FRASCO 20gr                  793-TEKBOND	F	F		18058	285749	3590905	790	150025	4	1			02/09/2025 13:58	02/09/2025 14:03	02/09/2025 14:06	1	1	1	BRUNO.REIS	CHECK_WEIGHT	3	373074	AGRO	109373	17	AGRO	31599	7,89847E+12	PESADO	CAIXA
401274	LIMPA REJUNTES 500ml C/BORRIFADOR         PROCLEAN	F	F		20444	285767	3590679	426	154585	8	1			02/09/2025 13:59	02/09/2025 14:22	02/09/2025 14:34	3	3	3	MATHEUS.FERREIRA	MAGNO.FERREIRA	3	373146	AGRO	109373	38	AGRO	31609	7,89895E+12	PESADO	PEÇA
401275	VERNIZ BRILHANTE IMBUIA POLIREX 900ml   -SAYERLACK	F	F		18709	285767	3590679	426	158526	13	1			02/09/2025 13:59	02/09/2025 14:26	02/09/2025 14:34	2	2	2	ARTHUR.SANTANA	MAGNO.FERREIRA	3	373149	AGRO	109373	38	AGRO	31609	7,89157E+12	PESADO	PEÇA
401276	"CARRAPETA P/TORN.1/2"" C/100            1030-1-HERC"	F	F		3085	285767	3590679	426	159040	17	1			02/09/2025 13:59	02/09/2025 14:30	02/09/2025 14:34	1	1	1	KELVE.SILVA	MAGNO.FERREIRA	3	373148	AGRO	109373	38	AGRO	31609	7,89806E+12	PESADO	UNIDADE
401277	VERNIZ BRILHANTE MOGNO POLIREX 900ml    -SAYERLACK	F	F		18712	285767	3590679	426	163205	101	1			02/09/2025 13:59	02/09/2025 14:15	02/09/2025 14:34	1	1	1	YURI.VITORIO	MAGNO.FERREIRA	3	373147	AGRO	109373	38	AGRO	31609	7,89157E+12	PESADO	PEÇA
401390	COLA INST.FRASCO 20gr                  793-TEKBOND	F	F		18058	285789	3590762	285789	150025	4	1			02/09/2025 13:59	02/09/2025 14:02	02/09/2025 15:30	1	1	1	BRUNO.REIS	WILTON.SANTOS	1	373263	PAPELAO	109373	48	PAPELAO	31623	7,89847E+12	PESADO	CAIXA
401389	CURVA 90º SOLDAVEL 25mm                  407-KRONA	F	F		10327	285789	3590762	285789	149617	3	1			02/09/2025 13:59	02/09/2025 14:01	02/09/2025 15:30	1	1	1	BRUNO.REIS	WILTON.SANTOS	1	373273	PAPELAO	109373	48	PAPELAO	31623	1,78978E+13	PESADO	CAIXA TEMP 2
401391	ADESIVO PU40 BR.400gr                      UNIPEGA	F	F		29677	285789	3590762	285789	150153	5	1			02/09/2025 13:59	02/09/2025 14:03	02/09/2025 15:30	5	5	5	BRUNO.REIS	WILTON.SANTOS	1	373259	PAPELAO	109373	48	PAPELAO	31623	7,89865E+12	PESADO	PEÇA
401392	CH.BIELA 10mm                          -TRAMONTINA	F	F		4516	285789	3590762	285789	157389	7	1			02/09/2025 13:59	02/09/2025 14:10	02/09/2025 15:30	4	4	4	BRUNO.REIS	WILTON.SANTOS	1	373260	PAPELAO	109373	48	PAPELAO	31623	7,89111E+12	PESADO	PEÇA
401395	LUVA RASPA COURO PUNHO 20cm                 VALCAN	F	F		26633	285789	3590762	285789	151366	9	1			02/09/2025 13:59	02/09/2025 14:16	02/09/2025 15:30	2	2	2	MARCOS.MOTA	WILTON.SANTOS	1	373261	PAPELAO	109373	48	PAPELAO	31623	7,89895E+12	PESADO	PAR
401394	ADESIVO PU40 PR.400gr                      UNIPEGA	F	F		29679	285789	3590762	285789	151079	8	1			02/09/2025 13:59	02/09/2025 14:15	02/09/2025 15:30	5	5	5	MARCOS.MOTA	WILTON.SANTOS	1	373271	PAPELAO	109373	48	PAPELAO	31623	7,89865E+12	PESADO	PEÇA
401393	"TESOURA CORTA CHAPA AVIACAO DIREITA 10""   10797-HF"	F	F		20832	285789	3590762	285789	157646	8	1			02/09/2025 13:59	02/09/2025 14:15	02/09/2025 15:30	3	3	3	MARCOS.MOTA	WILTON.SANTOS	1	373266	PAPELAO	109373	48	PAPELAO	31623	7,8936E+12	PESADO	PEÇA
401397	LUVA L.ANTID.MD.PR.11 FORRADA       LV-LPF11-IMBAT	F	F		33417	285789	3590762	285789	155175	12	1			02/09/2025 13:59	02/09/2025 14:50	02/09/2025 15:30	12	0	5	YURI.SEBASTIAO	WILTON.SANTOS	1	373264	PAPELAO	109373	48	PAPELAO	31623	7,90809E+12	PESADO	PAR
401398	"ALICATE UNIV.08""                   COMBATT-B.CORTE"	F	F		29975	285789	3590762	285789	158417	12	1			02/09/2025 13:59	02/09/2025 14:20	02/09/2025 15:30	3	3	3	YURI.SEBASTIAO	WILTON.SANTOS	1	373265	PAPELAO	109373	48	PAPELAO	31623	7,89818E+12	PESADO	PEÇA
401396	LUVA RASPA COURO PUNHO 07cm                 VALCAN	F	F		26627	285789	3590762	285789	151643	11	1			02/09/2025 13:59	02/09/2025 14:18	02/09/2025 15:30	5	5	5	YURI.SEBASTIAO	WILTON.SANTOS	1	373268	PAPELAO	109373	48	PAPELAO	31623	7,89895E+12	PESADO	PAR
401399	PREGO C/CAB.18x24                         PREGOFIX	F	F		31313	285789	3590762	285789	155433	13	1			02/09/2025 13:59	02/09/2025 14:52	02/09/2025 15:30	3	3	3	WILLIAN.ARAUJO	WILTON.SANTOS	1	373270	PAPELAO	109373	48	PAPELAO	31623	7,89945E+12	PESADO	KILO
401401	"FURADEIRA IMPACTO 1/2"" 710W/127V   DWD502BR-DEWALT"	F	F		22263	285790	3590762	727	150423	17	1			02/09/2025 14:00	02/09/2025 14:15	02/09/2025 14:16	1	1	1	KELVE.SILVA	CHECK_WEIGHT	3	373269	AGRO	109373	48	AGRO	31623	8,85911E+11	PESADO	PEÇA
401400	PREGO C/CAB.18x24                         PREGOFIX	F	F		31313	285790	3590762	727	155433	13	1			02/09/2025 14:00	02/09/2025 14:08	02/09/2025 14:16	7	7	7	WILLIAN.ARAUJO	CHECK_WEIGHT	3	373270	AGRO	109373	48	AGRO	31623	7,89945E+12	PESADO	KILO
401402	ADESIVO PU40 CZ.400gr                      UNIPEGA	F	F		29678	285790	3590762	727	150292	17	1			02/09/2025 14:00	02/09/2025 14:14	02/09/2025 14:16	5	5	5	KELVE.SILVA	CHECK_WEIGHT	3	373272	AGRO	109373	48	AGRO	31623	7,89865E+12	PESADO	PEÇA
401403	LUVA POLIESTER C/REVES.PU Nº09        CARBOGRAFITE	F	F		27883	285791	3590762	427	163397	101	1			02/09/2025 14:00	02/09/2025 14:14	02/09/2025 14:21	1	1	1	YURI.VITORIO	MAGNO.FERREIRA	3	373262	AGRO	109373	48	AGRO	31623	1,78985E+13	PESADO	SACO
